provider,hospital,hospcity,hospstate,hsanum,hsacity,hsastate,hrrnum,hrrcity,hrrstate
490001,Norton Community Hospital,Norton,VA,49039,Norton,VA,376,Kingsport,TN
490002,Russell County Medical Center,Lebanon,VA,49027,Lebanon,VA,376,Kingsport,TN
490004,Rockingham Memorial Hospital,Harrisonburg,VA,49023,Harrisonburg,VA,427,Charlottesville,VA
490005,Winchester Medical Center,Winchester,VA,49063,Winchester,VA,435,Winchester,VA
490007,Sentara Norfolk General Hospital,Norfolk,VA,49038,Norfolk,VA,430,Norfolk,VA
490009,University of Virginia Med Ctr,Charlottesville,VA,49007,Charlottesville,VA,427,Charlottesville,VA
490011,Bon Secours DePaul Med Ctr,Norfolk,VA,49038,Norfolk,VA,430,Norfolk,VA
490012,Lee Regional Medical Center,Pennington Gap,VA,49041,Pennington Gap,VA,376,Kingsport,TN
490013,Halifax Regional Health System,Halifax,VA,49052,South Boston,VA,312,Durham,NC
490017,Maryview Medical Center,Portsmouth,VA,49043,Portsmouth,VA,430,Norfolk,VA
490018,Augusta Health Care,Fishersville,VA,49054,Staunton,VA,427,Charlottesville,VA
490019,Culpeper Regional Hospital,Culpeper,VA,49010,Culpeper,VA,427,Charlottesville,VA
490020,John Randolph Medical Center,Hopewell,VA,49024,Hopewell,VA,431,Richmond,VA
490021,Centra Health,Lynchburg,VA,49032,Lynchburg,VA,428,Lynchburg,VA
490022,Mary Washington Hospital,Fredericksburg,VA,49017,Fredericksburg,VA,431,Richmond,VA
490023,Fauquier Hospital,Warrenton,VA,49060,Warrenton,VA,426,Arlington,VA
490024,Carilion Medical Center,Roanoke,VA,49049,Roanoke,VA,432,Roanoke,VA
490027,Mountain View Regional Med Ctr,Norton,VA,49039,Norton,VA,376,Kingsport,TN
490032,VCU Health System,Richmond,VA,49048,Richmond,VA,431,Richmond,VA
490033,Warren Memorial Hospital,Front Royal,VA,49018,Front Royal,VA,435,Winchester,VA
490037,Shore Memorial Hospital,Nassawadox,VA,49036,Nassawadox,VA,430,Norfolk,VA
490038,Smyth County Community Hospital,Marion,VA,49034,Marion,VA,376,Kingsport,TN
490040,Inova Alexandria Hospital,Alexandria,VA,49002,Alexandria,VA,426,Arlington,VA
490041,Mary Immaculate Hospital,Newport News,VA,49037,Newport News,VA,429,Newport News,VA
490042,Carilion New River Vly Med Ctr,Christiansburg,VA,49006,Blacksburg,VA,432,Roanoke,VA
490043,Inova Loudoun Hospital,Leesburg,VA,49028,Leesburg,VA,426,Arlington,VA
490044,Sentara Obici Hospital,Suffolk,VA,49056,Suffolk,VA,430,Norfolk,VA
490045,Prince William Hospital,Manassas,VA,49033,Manassas,VA,426,Arlington,VA
490046,Sentara Leigh Hospital,Norfolk,VA,49038,Norfolk,VA,430,Norfolk,VA
490048,Lewis-Gale Medical Center,Salem,VA,49051,Salem,VA,432,Roanoke,VA
490050,Virginia Hospital Center,Arlington,VA,49003,Arlington,VA,426,Arlington,VA
490052,Riverside Regional Med Ctr,Newport News,VA,49037,Newport News,VA,429,Newport News,VA
490053,Johnston Memorial Hospital,Abingdon,VA,49001,Abingdon,VA,376,Kingsport,TN
490057,Sentara Virginia Beach Hospital,Virginia Beach,VA,49059,Virginia Beach,VA,430,Norfolk,VA
